geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
EDSM 19-09-SM04 2018-09-27	38.12637	38.12637	-122.05859	-122.05859
EDSM 19-09-GB02 2018-09-27	38.10511	38.10511	-122.04742	-122.04742
EDSM 19-09-LSSC01 2018-09-27	38.30277	38.30277	-121.65436	-121.65436
EDSM 19-09-LSSC02 2018-09-27	38.39345	38.39345	-121.62084	-121.62084
EDSM 19-09-USSC01 2018-09-27	38.49781	38.49781	-121.58482	-121.58482
EDSM 19-09-USSC02 2018-09-27	38.55571	38.55571	-121.57478	-121.57478
EDSM 19-09-LSR03 2018-09-27	38.07724	38.07724	-121.75701	-121.75701
EDSM 19-09-RV03 2018-09-27	38.13895	38.13895	-121.69177	-121.69177
EDSM 19-09-RV04 2018-09-27	38.09073	38.09073	-121.68595	-121.68595
EDSM 19-10-LSR01 2018-10-01	38.05774	38.05774	-121.79156	-121.79156
EDSM 19-10-LSR02 2018-10-01	38.08664	38.08664	-121.74115	-121.74115
EDSM 19-10-CS03 2018-10-01	38.24659	38.24659	-121.70892	-121.70892
EDSM 19-10-CS01 2018-10-01	38.26006	38.26006	-121.76256	-121.76256
EDSM 19-10-RV04 2018-10-01	38.12299	38.12299	-121.69529	-121.69529
EDSM 19-10-RV05 2018-10-01	38.10558	38.10558	-121.69956	-121.69956
EDSM 19-10-SM02 2018-10-01	38.15101	38.15101	-122.05561	-122.05561
EDSM 19-10-SM01 2018-10-01	38.134	38.134	-121.91421	-121.91421
EDSM 19-10-CS05 2018-10-01	38.26035	38.26035	-121.75	-121.75
EDSM 19-10-SM03 2018-10-01	38.16319	38.16319	-122.04515	-122.04515
EDSM 19-10-RV01 2018-10-02	38.08229	38.08229	-121.73314	-121.73314
EDSM 19-10-CS07 2018-10-02	38.25346	38.25346	-121.68823	-121.68823
EDSM 19-10-RV02 2018-10-02	38.12116	38.12116	-121.70137	-121.70137
EDSM 19-10-CS04 2018-10-02	38.2352	38.2352	-121.68081	-121.68081
EDSM 19-10-CS06 2018-10-02	38.26299	38.26299	-121.69725	-121.69725
EDSM 19-10-RV03 2018-10-02	38.09889	38.09889	-121.7081	-121.7081
EDSM 19-10-CS02 2018-10-02	38.26762	38.26762	-121.69306	-121.69306
EDSM 19-10-LSR03 2018-10-02	38.05876	38.05876	-121.79772	-121.79772
EDSM 19-10-GB01 2018-10-02	38.11049	38.11049	-122.05916	-122.05916
EDSM 19-10-PP01 2018-10-03	38.07895	38.07895	-121.57685	-121.57685
EDSM 19-10-SM05 2018-10-02	38.16159	38.16159	-122.06077	-122.06077
EDSM 19-10-PP03 2018-10-03	38.09397	38.09397	-121.57746	-121.57746
EDSM 19-10-SM04 2018-10-02	38.17554	38.17554	-121.95139	-121.95139
EDSM 19-10-PP02 2018-10-03	38.10077	38.10077	-121.58935	-121.58935
EDSM 19-10-SJT01 2018-10-03	38.09721	38.09721	-121.63301	-121.63301
EDSM 19-10-USSC01 2018-10-03	38.52366	38.52366	-121.5844	-121.5844
EDSM 19-10-USSC02 2018-10-03	38.5435	38.5435	-121.58434	-121.58434
EDSM 19-10-USSC04 2018-10-03	38.56415	38.56415	-121.55105	-121.55105
EDSM 19-10-USSC03 2018-10-03	38.51331	38.51331	-121.58513	-121.58513
EDSM 19-10-SBW01 2018-10-03	38.08099	38.08099	-122.06643	-122.06643
EDSM 19-10-LSSC01 2018-10-04	38.3894	38.3894	-121.62293	-121.62293
EDSM 19-10-HB01 2018-10-03	38.057	38.057	-121.96732	-121.96732
EDSM 19-10-LSJ01 2018-10-04	38.02716	38.02716	-121.69712	-121.69712
EDSM 19-10-CF01 2018-10-03	38.05212	38.05212	-121.83565	-121.83565
EDSM 19-10-LSJ03 2018-10-04	38.02406	38.02406	-121.7469	-121.7469
EDSM 19-10-CF02 2018-10-04	38.04116	38.04116	-121.85207	-121.85207
EDSM 19-10-LSJ02 2018-10-04	38.04342	38.04342	-121.70166	-121.70166
EDSM 19-10-HB02 2018-10-04	38.04658	38.04658	-121.93375	-121.93375
EDSM 19-10-LSSC02 2018-10-04	38.24891	38.24891	-121.66904	-121.66904
EDSM 19-10-SBW02 2018-10-04	38.05183	38.05183	-122.10406	-122.10406
EDSM 19-10-LSSC03 2018-10-04	38.2948	38.2948	-121.65659	-121.65659
EDSM 19-11-LSSC06 2018-10-09	38.42689	38.42689	-121.60517	-121.60517
EDSM 19-11-LSSC03 2018-10-09	38.40769	38.40769	-121.61426	-121.61426
EDSM 19-11-USSC01 2018-10-09	38.56076	38.56076	-121.5595	-121.5595
EDSM 19-11-LSR01 2018-10-09	38.05896	38.05896	-121.80859	-121.80859
EDSM 19-11-LSR02 2018-10-09	38.07619	38.07619	-121.76011	-121.76011
EDSM 19-11-RV05 2018-10-09	38.09271	38.09271	-121.70893	-121.70893
EDSM 19-11-HB01 2018-10-09	38.0667	38.0667	-121.95707	-121.95707
EDSM 19-11-CF01 2018-10-09	38.05402	38.05402	-121.88047	-121.88047
EDSM 19-11-RV04 2018-10-09	38.11903	38.11903	-121.69429	-121.69429
EDSM 19-11-SBW01 2018-10-09	38.03828	38.03828	-122.14198	-122.14198
EDSM 19-11-SBM02 2018-10-10	38.07195	38.07195	-121.97052	-121.97052
EDSM 19-11-SBM01 2018-10-09	38.05684	38.05684	-121.99698	-121.99698
EDSM 19-11-SBM03 2018-10-10	38.06603	38.06603	-122.05066	-122.05066
EDSM 19-11-RV03 2018-10-10	38.11031	38.11031	-121.71199	-121.71199
EDSM 19-11-RV02 2018-10-10	38.1481	38.1481	-121.6864	-121.6864
EDSM 19-11-LSSC01 2018-10-10	38.17989	38.17989	-121.66472	-121.66472
EDSM 19-11-LSSC02 2018-10-10	38.24024	38.24024	-121.67242	-121.67242
EDSM 19-11-LSSC05 2018-10-10	38.33071	38.33071	-121.64805	-121.64805
EDSM 19-11-LSSC04 2018-10-10	38.18175	38.18175	-121.66399	-121.66399
EDSM 19-11-CF02 2018-10-10	38.02972	38.02972	-121.83097	-121.83097
EDSM 19-11-RV01 2018-10-10	38.15856	38.15856	-121.67878	-121.67878
EDSM 19-11-CS01 2018-10-11	38.32407	38.32407	-121.65313	-121.65313
EDSM 19-11-CS02 2018-10-11	38.25261	38.25261	-121.67255	-121.67255
EDSM 19-11-SM03 2018-10-11	38.16716	38.16716	-121.93876	-121.93876
EDSM 19-11-CS03 2018-10-11	38.24162	38.24162	-121.68649	-121.68649
EDSM 19-11-CS07 2018-10-11	38.27861	38.27861	-121.71192	-121.71192
EDSM 19-11-SM02 2018-10-11	38.21141	38.21141	-122.03459	-122.03459
EDSM 19-11-PP01 2018-10-11	38.09488	38.09488	-121.57131	-121.57131
EDSM 19-11-SM01 2018-10-11	38.14659	38.14659	-122.0589	-122.0589
EDSM 19-11-LSJ05 2018-10-11	38.02698	38.02698	-121.74499	-121.74499
EDSM 19-11-LSJ01 2018-10-11	38.01885	38.01885	-121.81452	-121.81452
EDSM 19-11-LSJ04 2018-10-11	38.0182	38.0182	-121.79122	-121.79122
EDSM 19-11-LSJ06 2018-10-11	38.02224	38.02224	-121.7638	-121.7638
EDSM 19-11-CS06 2018-10-12	38.28963	38.28963	-121.66426	-121.66426
EDSM 19-11-CS08 2018-10-12	38.27656	38.27656	-121.70994	-121.70994
EDSM 19-11-CS09 2018-10-12	38.2422	38.2422	-121.68072	-121.68072
EDSM 19-11-CS05 2018-10-12	38.23157	38.23157	-121.67582	-121.67582
EDSM 19-11-CS04 2018-10-12	38.27259	38.27259	-121.69369	-121.69369
EDSM 19-11-GB01 2018-10-12	38.10643	38.10643	-122.05035	-122.05035
EDSM 19-11-SM04 2018-10-12	38.1341	38.1341	-122.05848	-122.05848
EDSM 19-11-SM05 2018-10-12	38.17863	38.17863	-122.0078	-122.0078
EDSM 19-11-LSJ02 2018-10-12	38.02641	38.02641	-121.73295	-121.73295
EDSM 19-11-LSJ03 2018-10-12	38.03647	38.03647	-121.71625	-121.71625
EDSM 19-11-PP02 2018-10-12	38.0578	38.0578	-121.54487	-121.54487
EDSM 19-12-GB01 2018-10-15	38.10592	38.10592	-122.04608	-122.04608
EDSM 19-12-GB02 2018-10-15	38.10688	38.10688	-122.05203	-122.05203
EDSM 19-12-LSR04 2018-10-15	38.03186	38.03186	-121.77286	-121.77286
EDSM 19-12-CS01 2018-10-15	38.32428	38.32428	-121.69348	-121.69348
EDSM 19-12-CS03 2018-10-15	38.29083	38.29083	-121.69272	-121.69272
EDSM 19-12-LSR03 2018-10-15	38.07335	38.07335	-121.76743	-121.76743
EDSM 19-12-CS02 2018-10-15	38.24401	38.24401	-121.67768	-121.67768
EDSM 19-12-SM01 2018-10-15	38.18703	38.18703	-121.97562	-121.97562
EDSM 19-12-LSR01 2018-10-16	38.07099	38.07099	-121.7779	-121.7779
EDSM 19-12-LSR02 2018-10-16	38.06077	38.06077	-121.79418	-121.79418
EDSM 19-12-RV01 2018-10-16	38.11386	38.11386	-121.68793	-121.68793
EDSM 19-12-CS05 2018-10-16	38.33484	38.33484	-121.66737	-121.66737
EDSM 19-12-GB03 2018-10-16	38.1067	38.1067	-122.04194	-122.04194
EDSM 19-12-CS06 2018-10-16	38.27189	38.27189	-121.66682	-121.66682
EDSM 19-12-CS04 2018-10-16	38.24409	38.24409	-121.68682	-121.68682
EDSM 19-12-SM03 2018-10-16	38.12686	38.12686	-122.05711	-122.05711
EDSM 19-12-SM02 2018-10-16	38.19841	38.19841	-122.04321	-122.04321
EDSM 19-12-CS07 2018-10-16	38.25981	38.25981	-121.74715	-121.74715
EDSM 19-12-RV02 2018-10-16	38.0885	38.0885	-121.68618	-121.68618
EDSM 19-12-LSJ02 2018-10-17	38.02256	38.02256	-121.79728	-121.79728
EDSM 19-12-USSC02 2018-10-17	38.56079	38.56079	-121.55643	-121.55643
EDSM 19-12-SBM01 2018-10-17	38.09834	38.09834	-122.0245	-122.0245
EDSM 19-12-LSJ01 2018-10-17	38.03588	38.03588	-121.71468	-121.71468
EDSM 19-12-SBW02 2018-10-17	38.0583	38.0583	-122.10623	-122.10623
EDSM 19-12-USSC01 2018-10-17	38.50091	38.50091	-121.58503	-121.58503
EDSM 19-12-LSJ03 2018-10-17	38.0438	38.0438	-121.6985	-121.6985
EDSM 19-12-SBW01 2018-10-17	38.06461	38.06461	-122.06143	-122.06143
EDSM 19-12-LSSC03 2018-10-17	38.45784	38.45784	-121.59048	-121.59048
EDSM 19-12-LSSC04 2018-10-17	38.38681	38.38681	-121.62414	-121.62414
EDSM 19-12-PP01 2018-10-18	38.07234	38.07234	-121.55989	-121.55989
EDSM 19-12-LSSC01 2018-10-18	38.25032	38.25032	-121.6694	-121.6694
EDSM 19-12-PP02 2018-10-18	38.08981	38.08981	-121.57823	-121.57823
EDSM 19-12-LSSC05 2018-10-18	38.27213	38.27213	-121.66293	-121.66293
EDSM 19-12-LSSC02 2018-10-18	38.18449	38.18449	-121.66047	-121.66047
EDSM 19-12-SBW04 2018-10-18	38.06661	38.06661	-122.10689	-122.10689
EDSM 19-12-SJT01 2018-10-18	38.09028	38.09028	-121.67615	-121.67615
EDSM 19-12-SBW03 2018-10-18	38.05433	38.05433	-122.07849	-122.07849
EDSM 19-12-CF01 2018-10-18	38.04915	38.04915	-121.92281	-121.92281
EDSM 19-13-PP02 2018-10-22	38.0453	38.0453	-121.50282	-121.50282
EDSM 19-13-CF01 2018-10-22	38.0628	38.0628	-121.84837	-121.84837
EDSM 19-13-LSSC01 2018-10-22	38.18371	38.18371	-121.66107	-121.66107
EDSM 19-13-PP03 2018-10-22	38.05535	38.05535	-121.5325	-121.5325
EDSM 19-13-PP01 2018-10-22	38.09758	38.09758	-121.57556	-121.57556
EDSM 19-13-HB01 2018-10-22	38.07387	38.07387	-121.95358	-121.95358
EDSM 19-13-SBW01 2018-10-22	38.05718	38.05718	-122.06689	-122.06689
EDSM 19-13-LSSC02 2018-10-22	38.26199	38.26199	-121.6652	-121.6652
EDSM 19-13-LSSC03 2018-10-22	38.3614	38.3614	-121.63541	-121.63541
EDSM 19-13-SJT02 2018-10-23	38.10276	38.10276	-121.61303	-121.61303
EDSM 19-13-CF03 2018-10-23	38.05197	38.05197	-121.93185	-121.93185
EDSM 19-13-SJT01 2018-10-23	38.09405	38.09405	-121.6596	-121.6596
EDSM 19-13-LSJ01 2018-10-23	38.0449	38.0449	-121.70285	-121.70285
EDSM 19-13-LSJ02 2018-10-23	38.02596	38.02596	-121.74136	-121.74136
EDSM 19-13-SJT03 2018-10-23	38.08068	38.08068	-121.67933	-121.67933
EDSM 19-13-SBW02 2018-10-23	38.07959	38.07959	-122.09217	-122.09217
EDSM 19-13-CF02 2018-10-23	38.03751	38.03751	-121.83672	-121.83672
EDSM 19-13-USSC01 2018-10-23	38.49924	38.49924	-121.58394	-121.58394
EDSM 19-13-LSSC05 2018-10-23	38.28006	38.28006	-121.66033	-121.66033
EDSM 19-13-LSSC04 2018-10-23	38.24102	38.24102	-121.6713	-121.6713
EDSM 19-13-CS06 2018-10-25	38.25175	38.25175	-121.72289	-121.72289
EDSM 19-13-CS05 2018-10-25	38.23626	38.23626	-121.68319	-121.68319
EDSM 19-13-LSR01 2018-10-25	38.06016	38.06016	-121.78738	-121.78738
EDSM 19-13-LSR02 2018-10-25	38.0834	38.0834	-121.7413	-121.7413
EDSM 19-13-RV01 2018-10-25	38.13309	38.13309	-121.69199	-121.69199
EDSM 19-13-RV03 2018-10-25	38.11505	38.11505	-121.68742	-121.68742
EDSM 19-13-CS04 2018-10-25	38.32399	38.32399	-121.6672	-121.6672
EDSM 19-13-CS01 2018-10-25	38.32845	38.32845	-121.6672	-121.6672
EDSM 19-13-SM01 2018-10-25	38.07673	38.07673	-121.88356	-121.88356
EDSM 19-13-GB01 2018-10-25	38.11703	38.11703	-122.06052	-122.06052
EDSM 19-13-SM02 2018-10-25	38.17652	38.17652	-122.05779	-122.05779
EDSM 19-13-LSR03 2018-10-26	38.05632	38.05632	-121.80677	-121.80677
EDSM 19-13-CS02 2018-10-26	38.27932	38.27932	-121.71184	-121.71184
EDSM 19-13-RV04 2018-10-26	38.08172	38.08172	-121.7324	-121.7324
EDSM 19-13-RV05 2018-10-26	38.08217	38.08217	-121.72314	-121.72314
EDSM 19-13-CS03 2018-10-26	38.31505	38.31505	-121.69302	-121.69302
EDSM 19-13-RV02 2018-10-26	38.09684	38.09684	-121.72495	-121.72495
EDSM 19-13-SM04 2018-10-26	38.11582	38.11582	-121.89055	-121.89055
EDSM 19-13-SM03 2018-10-26	38.18329	38.18329	-122.00776	-122.00776
EDSM 19-14-LSR03 2018-10-29	38.0656	38.0656	-121.81541	-121.81541
EDSM 19-14-CS03 2018-10-29	38.25519	38.25519	-121.68727	-121.68727
EDSM 19-14-CS01 2018-10-29	38.24012	38.24012	-121.68628	-121.68628
EDSM 19-14-LSR04 2018-10-29	38.06754	38.06754	-121.7763	-121.7763
EDSM 19-14-CS02 2018-10-29	38.28156	38.28156	-121.66436	-121.66436
EDSM 19-14-RV02 2018-10-29	38.12027	38.12027	-121.70353	-121.70353
EDSM 19-14-SM01 2018-10-29	38.10821	38.10821	-121.88966	-121.88966
EDSM 19-14-SM03 2018-10-29	38.18561	38.18561	-121.92945	-121.92945
EDSM 19-14-CS05 2018-10-29	38.26064	38.26064	-121.66871	-121.66871
EDSM 19-14-SM02 2018-10-29	38.12218	38.12218	-122.05862	-122.05862
EDSM 19-14-CS06 2018-10-30	38.30103	38.30103	-121.7295	-121.7295
EDSM 19-14-RV01 2018-10-30	38.1627	38.1627	-121.67915	-121.67915
EDSM 19-14-CS04 2018-10-30	38.27414	38.27414	-121.70901	-121.70901
EDSM 19-14-LSR01 2018-10-30	38.05967	38.05967	-121.79073	-121.79073
EDSM 19-14-CS07 2018-10-30	38.25839	38.25839	-121.69369	-121.69369
EDSM 19-14-LSR02 2018-10-30	38.08968	38.08968	-121.74268	-121.74268
EDSM 19-14-GB01 2018-10-30	38.10505	38.10505	-122.03316	-122.03316
EDSM 19-14-GB02 2018-10-30	38.11724	38.11724	-122.05515	-122.05515
EDSM 19-14-SM04 2018-10-30	38.15681	38.15681	-122.07116	-122.07116
EDSM 19-14-SM05 2018-10-30	38.1672	38.1672	-121.93811	-121.93811
EDSM 19-14-PP02 2018-10-31	38.05079	38.05079	-121.53537	-121.53537
EDSM 19-14-HB01 2018-10-31	38.07307	38.07307	-121.95978	-121.95978
EDSM 19-14-LSSC01 2018-10-31	38.33338	38.33338	-121.64719	-121.64719
EDSM 19-14-PP01 2018-10-31	38.10015	38.10015	-121.59424	-121.59424
EDSM 19-14-LSSC02 2018-10-31	38.36855	38.36855	-121.63173	-121.63173
EDSM 19-14-PP03 2018-10-31	38.10431	38.10431	-121.59966	-121.59966
EDSM 19-14-LSSC03 2018-10-31	38.47029	38.47029	-121.58522	-121.58522
EDSM 19-14-SBW01 2018-10-31	38.08638	38.08638	-122.07984	-122.07984
EDSM 19-14-USSC01 2018-10-31	38.48657	38.48657	-121.58493	-121.58493
EDSM 19-14-CF02 2018-10-31	38.04798	38.04798	-121.89345	-121.89345
EDSM 19-14-CF01 2018-10-31	38.03843	38.03843	-121.84404	-121.84404
EDSM 19-14-LSJ02 2018-11-01	38.03088	38.03088	-121.72981	-121.72981
EDSM 19-14-SJT01 2018-11-01	38.07011	38.07011	-121.67603	-121.67603
EDSM 19-14-LSSC05 2018-11-01	38.29803	38.29803	-121.65626	-121.65626
EDSM 19-14-LSSC06 2018-11-01	38.41402	38.41402	-121.61146	-121.61146
EDSM 19-14-LSJ01 2018-11-01	38.04825	38.04825	-121.69774	-121.69774
EDSM 19-14-SBW02 2018-11-01	38.05352	38.05352	-122.09603	-122.09603
EDSM 19-14-LSSC04 2018-11-01	38.22058	38.22058	-121.67303	-121.67303
EDSM 19-14-SBW03 2018-11-01	38.06505	38.06505	-122.11128	-122.11128
EDSM 19-14-HB02 2018-11-01	38.05762	38.05762	-121.94943	-121.94943
EDSM 19-15-CS02 2018-11-05	38.26501	38.26501	-121.69729	-121.69729
EDSM 19-15-SBM02 2018-11-05	38.06296	38.06296	-122.02259	-122.02259
EDSM 19-15-RV02 2018-11-05	38.10889	38.10889	-121.70199	-121.70199
EDSM 19-15-LSR04 2018-11-05	38.0757	38.0757	-121.77089	-121.77089
EDSM 19-15-SBW01 2018-11-05	38.055	38.055	-122.08558	-122.08558
EDSM 19-15-CS06 2018-11-05	38.27594	38.27594	-121.6947	-121.6947
EDSM 19-15-LSR03 2018-11-05	38.06536	38.06536	-121.78468	-121.78468
EDSM 19-15-SBM01 2018-11-05	38.09911	38.09911	-122.05184	-122.05184
EDSM 19-15-CS03 2018-11-05	38.27259	38.27259	-121.70801	-121.70801
EDSM 19-15-CS05 2018-11-05	38.28098	38.28098	-121.71268	-121.71268
EDSM 19-15-CS01 2018-11-05	38.28654	38.28654	-121.71724	-121.71724
EDSM 19-15-CS04 2018-11-05	38.29833	38.29833	-121.65924	-121.65924
EDSM 19-15-LSR01 2018-11-06	38.06648	38.06648	-121.82195	-121.82195
EDSM 19-15-LSR02 2018-11-06	38.08135	38.08135	-121.75364	-121.75364
EDSM 19-15-RV01 2018-11-06	38.16397	38.16397	-121.67686	-121.67686
EDSM 19-15-RV03 2018-11-06	38.13986	38.13986	-121.68721	-121.68721
EDSM 19-15-CS08 2018-11-06	38.25824	38.25824	-121.67119	-121.67119
EDSM 19-15-CS09 2018-11-06	38.28433	38.28433	-121.69266	-121.69266
EDSM 19-15-CS10 2018-11-06	38.26824	38.26824	-121.69976	-121.69976
EDSM 19-15-CS07 2018-11-06	38.25071	38.25071	-121.71889	-121.71889
EDSM 19-15-CS11 2018-11-06	38.23635	38.23635	-121.68352	-121.68352
EDSM 19-15-SBW02 2018-11-06	38.05237	38.05237	-122.11928	-122.11928
EDSM 19-15-SBW03 2018-11-06	38.06174	38.06174	-122.05921	-122.05921
EDSM 19-15-CF01 2018-11-06	38.06242	38.06242	-121.86695	-121.86695
EDSM 19-15-LSJ03 2018-11-07	38.02123	38.02123	-121.80766	-121.80766
EDSM 19-15-SM03 2018-11-07	38.13425	38.13425	-121.9143	-121.9143
EDSM 19-15-LSSC01 2018-11-07	38.44	38.44	-121.59948	-121.59948
EDSM 19-15-LSJ02 2018-11-07	38.02637	38.02637	-121.72567	-121.72567
EDSM 19-15-USSC02 2018-11-07	38.49455	38.49455	-121.58447	-121.58447
EDSM 19-15-USSC01 2018-11-07	38.5616	38.5616	-121.55416	-121.55416
EDSM 19-15-LSJ04 2018-11-07	38.036	38.036	-121.70665	-121.70665
EDSM 19-15-USSC03 2018-11-07	38.5613	38.5613	-121.55338	-121.55338
EDSM 19-15-SM02 2018-11-07	38.13925	38.13925	-122.07325	-122.07325
EDSM 19-15-GB01 2018-11-07	38.10284	38.10284	-122.06511	-122.06511
EDSM 19-15-SM01 2018-11-07	38.17606	38.17606	-122.01225	-122.01225
EDSM 19-15-LSSC02 2018-11-08	38.21853	38.21853	-121.6719	-121.6719
EDSM 19-15-LSSC03 2018-11-08	38.33651	38.33651	-121.64646	-121.64646
EDSM 19-15-PP01 2018-11-08	38.04208	38.04208	-121.52798	-121.52798
EDSM 19-15-PP02 2018-11-08	38.08739	38.08739	-121.57711	-121.57711
EDSM 19-15-LSJ01 2018-11-08	38.0429	38.0429	-121.71237	-121.71237
EDSM 19-15-SM05 2018-11-08	38.17179	38.17179	-122.01716	-122.01716
EDSM 19-15-SM04 2018-11-08	38.19385	38.19385	-122.0406	-122.0406
EDSM 19-15-GB02 2018-11-08	38.1056	38.1056	-122.06064	-122.06064
EDSM 19-16-PP01 2018-11-13	38.04161	38.04161	-121.49575	-121.49575
EDSM 19-16-PP02 2018-11-13	38.04236	38.04236	-121.52818	-121.52818
EDSM 19-16-SJT02 2018-11-13	38.0836	38.0836	-121.67748	-121.67748
EDSM 19-16-LSSC01 2018-11-14	38.18024	38.18024	-121.66346	-121.66346
EDSM 19-16-SJT01 2018-11-14	38.05963	38.05963	-121.68236	-121.68236
EDSM 19-16-SBW01 2018-11-14	38.07865	38.07865	-122.08648	-122.08648
EDSM 19-16-LSSC02 2018-11-14	38.23867	38.23867	-121.67219	-121.67219
EDSM 19-16-LSJ01 2018-11-14	38.02011	38.02011	-121.81349	-121.81349
EDSM 19-16-LSJ02 2018-11-14	38.02294	38.02294	-121.79379	-121.79379
EDSM 19-16-SBM02 2018-11-14	38.09666	38.09666	-122.03231	-122.03231
EDSM 19-16-SBM01 2018-11-14	38.0836	38.0836	-121.99275	-121.99275
EDSM 19-16-LSSC03 2018-11-14	38.35551	38.35551	-121.63858	-121.63858
EDSM 19-16-GB01 2018-11-15	38.10647	38.10647	-122.0424	-122.0424
EDSM 19-16-RV01 2018-11-15	38.17623	38.17623	-121.66793	-121.66793
EDSM 19-16-RV02 2018-11-15	38.08394	38.08394	-121.71199	-121.71199
EDSM 19-16-SM01 2018-11-15	38.12587	38.12587	-122.05709	-122.05709
EDSM 19-16-RV03 2018-11-15	38.10789	38.10789	-121.71514	-121.71514
EDSM 19-16-SM02 2018-11-15	38.15789	38.15789	-122.05004	-122.05004
EDSM 19-17-LSR01 2018-11-19	38.06194	38.06194	-121.79098	-121.79098
EDSM 19-17-RV04 2018-11-19	38.1014	38.1014	-121.7086	-121.7086
EDSM 19-17-CS01 2018-11-19	38.32567	38.32567	-121.65259	-121.65259
EDSM 19-17-GB01 2018-11-19	38.10845	38.10845	-122.03957	-122.03957
EDSM 19-17-GB02 2018-11-19	38.10608	38.10608	-122.04775	-122.04775
EDSM 19-17-CS03 2018-11-19	38.26107	38.26107	-121.6964	-121.6964
EDSM 19-17-RV05 2018-11-19	38.14608	38.14608	-121.69017	-121.69017
EDSM 19-17-CS02 2018-11-19	38.28104	38.28104	-121.68163	-121.68163
EDSM 19-17-SM01 2018-11-19	38.17851	38.17851	-122.00546	-122.00546
EDSM 19-17-CS04 2018-11-19	38.25296	38.25296	-121.68759	-121.68759
EDSM 19-17-RV01 2018-11-20	38.15971	38.15971	-121.68117	-121.68117
EDSM 19-17-RV02 2018-11-20	38.08484	38.08484	-121.71247	-121.71247
EDSM 19-17-CS06 2018-11-20	38.30679	38.30679	-121.65717	-121.65717
EDSM 19-17-RV03 2018-11-20	38.0932	38.0932	-121.73343	-121.73343
EDSM 19-17-CS09 2018-11-20	38.23437	38.23437	-121.68001	-121.68001
EDSM 19-17-CS05 2018-11-20	38.32162	38.32162	-121.68243	-121.68243
EDSM 19-17-CS07 2018-11-20	38.27371	38.27371	-121.70725	-121.70725
EDSM 19-17-CS08 2018-11-20	38.29873	38.29873	-121.7292	-121.7292
EDSM 19-17-LSSC01 2018-11-21	38.23864	38.23864	-121.67233	-121.67233
EDSM 19-17-LSSC02 2018-11-21	38.45309	38.45309	-121.59313	-121.59313
EDSM 19-17-USSC01 2018-11-21	38.5612	38.5612	-121.55516	-121.55516
EDSM 19-17-LSJ01 2018-11-21	38.03421	38.03421	-121.71629	-121.71629
EDSM 19-17-LSJ03 2018-11-21	38.04579	38.04579	-121.69574	-121.69574
EDSM 19-17-CF01 2018-11-21	38.06136	38.06136	-121.85593	-121.85593
EDSM 19-17-HB01 2018-11-21	38.05141	38.05141	-121.9542	-121.9542
EDSM 19-17-SBM01 2018-11-21	38.07131	38.07131	-122.00921	-122.00921
EDSM 19-17-SM02 2018-11-23	38.14101	38.14101	-122.06146	-122.06146
EDSM 19-17-HB02 2018-11-23	38.05028	38.05028	-121.93708	-121.93708
EDSM 19-17-SBW01 2018-11-23	38.08348	38.08348	-122.09265	-122.09265
EDSM 19-17-CF02 2018-11-23	38.05193	38.05193	-121.84681	-121.84681
EDSM 19-17-PP01 2018-11-23	38.04011	38.04011	-121.50443	-121.50443
EDSM 19-17-SJT01 2018-11-23	38.0911	38.0911	-121.63418	-121.63418
EDSM 19-17-SJT02 2018-11-23	38.08975	38.08975	-121.64978	-121.64978
EDSM 19-17-LSJ02 2018-11-23	38.02137	38.02137	-121.81439	-121.81439
EDSM 19-17-USSC02 2018-11-23	38.55839	38.55839	-121.571	-121.571
EDSM 19-17-LSSC03 2018-11-23	38.40129	38.40129	-121.61753	-121.61753
EDSM 19-17-LSSC04 2018-11-23	38.20036	38.20036	-121.6578	-121.6578
EDSM 19-18-PP02 2018-11-26	38.08575	38.08575	-121.56508	-121.56508
EDSM 19-18-CS03 2018-11-26	38.25905	38.25905	-121.69342	-121.69342
EDSM 19-18-SM04 2018-11-26	38.11823	38.11823	-122.06231	-122.06231
EDSM 19-18-SM01 2018-11-26	38.1396	38.1396	-122.07261	-122.07261
EDSM 19-18-SM02 2018-11-26	38.20866	38.20866	-122.03382	-122.03382
EDSM 19-18-PP01 2018-11-26	38.08613	38.08613	-121.57466	-121.57466
EDSM 19-18-SM03 2018-11-26	38.1363	38.1363	-121.91219	-121.91219
EDSM 19-18-CS01 2018-11-26	38.23763	38.23763	-121.68312	-121.68312
EDSM 19-18-CS02 2018-11-26	38.28654	38.28654	-121.66309	-121.66309
EDSM 19-18-SJT02 2018-11-26	38.10198	38.10198	-121.60745	-121.60745
EDSM 19-18-SJT01 2018-11-26	38.09147	38.09147	-121.62377	-121.62377
EDSM 19-18-LSJ01 2018-11-27	38.02532	38.02532	-121.79323	-121.79323
EDSM 19-18-GB01 2018-11-27	38.10033	38.10033	-122.06504	-122.06504
EDSM 19-18-LSJ03 2018-11-27	38.02805	38.02805	-121.75844	-121.75844
EDSM 19-18-SM05 2018-11-27	38.15847	38.15847	-122.05691	-122.05691
EDSM 19-18-CS04 2018-11-27	38.25672	38.25672	-121.72943	-121.72943
EDSM 19-18-CS05 2018-11-27	38.23352	38.23352	-121.67837	-121.67837
EDSM 19-18-CS06 2018-11-27	38.31093	38.31093	-121.66706	-121.66706
