geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
Baystudy 101	37.5355	37.5355	-122.166266666667	-122.166266666667
Baystudy 102	37.5833	37.5833	-122.2083	-122.2083
Baystudy 103	37.6033	37.6033	-122.3028	-122.3028
Baystudy 104	37.6797	37.6797	-122.2367	-122.2367
Baystudy 105	37.7195	37.7195	-122.2708	-122.2708
Baystudy 106	37.702	37.702	-122.3667	-122.3667
Baystudy 107	37.605	37.605	-122.2858	-122.2858
Baystudy 108	37.6758	37.6758	-122.3297	-122.3297
Baystudy 109	37.7392	37.7392	-122.3533	-122.3533
Baystudy 110	37.7881833333333	37.7881833333333	-122.356183333333	-122.356183333333
Baystudy 211	37.8447333333333	37.8447333333333	-122.388033333333	-122.388033333333
Baystudy 212	37.8545	37.8545	-122.3527	-122.3527
Baystudy 213	37.8325	37.8325	-122.427166666667	-122.427166666667
Baystudy 214	37.8656666666667	37.8656666666667	-122.401666666667	-122.401666666667
Baystudy 215	37.888	37.888	-122.4242	-122.4242
Baystudy 216	37.9208	37.9208	-122.4363	-122.4363
Baystudy 317	37.9890166666667	37.9890166666667	-122.409033333333	-122.409033333333
Baystudy 318	38.0213	38.0213	-122.345	-122.345
Baystudy 319	38.0403	38.0403	-122.2855	-122.2855
Baystudy 320	38.0626666666667	38.0626666666667	-122.317166666667	-122.317166666667
Baystudy 321	38.0662	38.0662	-122.3675	-122.3675
Baystudy 322	38.053	38.053	-122.4138	-122.4138
Baystudy 323	38.0187	38.0187	-122.43	-122.43
Baystudy 324	37.9825	37.9825	-122.412	-122.412
Baystudy 325	38.03	38.03	-122.3717	-122.3717
Baystudy 326	38.0403333333333	38.0403333333333	-122.2855	-122.2855
Baystudy 427	38.0355	38.0355	-122.1522	-122.1522
Baystudy 428	38.062	38.062	-122.1053	-122.1053
Baystudy 429	38.0858333333333	38.0858333333333	-122.076833333333	-122.076833333333
Baystudy 430	38.1082	38.1082	-122.055	-122.055
Baystudy 431	38.1052	38.1052	-122.028	-122.028
Baystudy 432	38.0425	38.0425	-122.108	-122.108
Baystudy 433	38.0601166666667	38.0601166666667	-121.982816666667	-121.982816666667
Baystudy 534	38.07145	38.07145	-121.9562	-121.9562
Baystudy 535	38.0473166666667	38.0473166666667	-121.917666666667	-121.917666666667
Baystudy 736	38.0603333333333	38.0603333333333	-121.804333333333	-121.804333333333
Baystudy 837	38.0245	38.0245	-121.76	-121.76
Baystudy 140	37.50185	37.50185	-122.116183333333	-122.116183333333
Baystudy 141	37.65	37.65	-122.266666666667	-122.266666666667
Baystudy 142	37.7618333333333	37.7618333333333	-122.305333333333	-122.305333333333
Baystudy 243	37.8842	37.8842	-122.4012	-122.4012
Baystudy 244	37.9237	37.9237	-122.468	-122.468
Baystudy 345	37.9975	37.9975	-122.4242	-122.4242
